,Name,Number,Value,Modifier,Notes,Subspecies
0,Pollen: 2. diameter (um),5.13,40,,,
1,Seed weight: 3. mean (mg),5.34,3.918,,,
2,Flower colour,5.58,purple,violet,,
3,Petal no,5.59,5,,fused,
4,Petal (sepal) size (cm),5.6,1.1,0.7-1.5,lobes,
5,Stigma number,5.61,1,,,
6,Stamen number,5.62,5,,,
7,Sepal number,5.63,5,,,
8,Carpel/Style number,5.64,1,,,
9,Inflorescence type,5.65,cyme,,"bracteate, scorpoidal, branched, terminal",
10,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
11,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
12,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
13,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
14,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
15,Ellenberg: pH,7.16,7,,Data calculated for Europe,
16,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
17,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
20,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
21,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
22,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
