,Name,Number,Value,Modifier,Notes,Subspecies
0,Pollen: 2. diameter (um),5.13,30.9,,,
1,2C DNA content (pg),5.26,3.50,2n=16,,
2,Seed weight: 3. mean (mg),5.34,16.1,,,
3,Flower colour,5.58,blue,white,,
4,Petal no,5.59,5,,fused,
5,Petal (sepal) size (cm),5.6,1.1,0.7-1.5,,
6,Stigma number,5.61,1,,,
7,Stamen number,5.62,5,,,
8,Sepal number,5.63,5,,,
9,Carpel/Style number,5.64,1,,,
10,Inflorescence type,5.65,cyme,,"lax, terminal and lateral, branched, bracteate",
11,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
12,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
13,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
14,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
15,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
16,Ellenberg: pH,7.16,,,Data calculated for Europe,
17,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
23,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
