,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,9.45,,,
1,2C DNA content (pg),5.26,9.45,2n=24,,
2,Seed weight: 3. mean (mg),5.34,20.467,,,
3,Flower colour,5.58,blue-lilac,purple,,
4,Petal no,5.59,5,two fused,,
5,Petal (sepal) size (cm),5.6,1.5,(1-)1.2-1.8,standard,
6,Stigma number,5.61,1,,,
7,Stamen number,5.62,10,,,
8,Sepal number,5.63,5,,,
9,Carpel/Style number,5.64,1,,,
10,Inflorescence type,5.65,raceme,,axillary,
11,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
12,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
13,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
14,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
15,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
16,Ellenberg: pH,7.16,8,,Data calculated for Europe,
17,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
18,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
23,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
