,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Ligule,3.33,,,fringe of hairs,
9,Mean plant dry mass(mg),3.35,381,,,
10,2C DNA content (pg),5.26,1.60,,,
11,Seed weight: 3. mean (mg),5.34,0.709,,,
12,Seed weight: 3. mean (mg),5.34,1,,,
13,Seed production: 3. typical range (/plant),5.37,234.2,max: 1078,,
14,Flower colour,5.58,green,"brown, purple, white",,
15,Petal no,5.59,0,,,
16,Petal (sepal) size (cm),5.6,0,,,
17,Stigma number,5.61,2,,,
18,Stamen number,5.62,3,,,
19,Sepal number,5.63,0,,,
20,Carpel/Style number,5.64,2,,,
21,Inflorescence type,5.65,spicate panicle,,"linear, branches accrescent",
22,"Glume, upper",5.66,0.25,0.2-0.3,"elliptic, obtuse, 5 nerved",
23,Glume lower,5.67,0.075,0.05-0.1,"oblate, obtuse 1-3 nerved",
24,Lemma,5.69,0.25,0.2-0.3,"elliptic, obtuse, 5-7 nerved",
25,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
26,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
27,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
28,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
29,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
30,Ellenberg: pH,7.16,,,Data calculated for Europe,
31,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
32,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
33,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
34,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
35,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
36,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
37,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
