,Name,Number,Value,Modifier,Notes,Subspecies
0,Seed weight: 3. mean (mg),5.34,2.54,,,
1,Flower colour,5.58,white,,,
2,Petal no,5.59,5,,,
3,Petal (sepal) size (cm),5.6,0.75,,,
4,Stigma number,5.61,1,,stylopodium,
5,Stamen number,5.62,5,,,
6,Sepal number,5.63,5,,minute or 0,
7,Carpel/Style number,5.64,2,,,
8,Inflorescence type,5.65,umbel,,,
9,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
10,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
11,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
12,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
13,Ellenberg: pH,7.16,9,,Data calculated for the Czech Republic,
14,Ellenberg: pH,7.16,9,,Data calculated for Europe,
15,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
17,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
19,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
20,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
21,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
