,Name,Number,Value,Modifier,Notes,Subspecies
0,Seed weight: 3. mean (mg),5.34,24.56,,,
1,Flower colour,5.58,green,red,,
2,Petal no,5.59,5,,,
3,Petal (sepal) size (cm),5.6,small,,,
4,Stigma number,5.61,1,,,
5,Stamen number,5.62,5,,,
6,Sepal number,5.63,5,,,
7,Carpel/Style number,5.64,1,,,
8,Inflorescence type,5.65,cyme,,lf opposed,
9,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
10,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
11,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
12,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
13,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
14,Ellenberg: pH,7.16,,,Data calculated for Europe,
15,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
17,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
19,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
20,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
21,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
