,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,13.50,,,
1,Seed weight: 3. mean (mg),5.34,38.1,,,
2,Flower colour,5.58,yellow-brown,,,
3,Petal no,5.59,5,two fused,,
4,Petal (sepal) size (cm),5.6,1.8,1.4-2.2,standard,
5,Stigma number,5.61,1,,,
6,Stamen number,5.62,10,9 fused,,
7,Sepal number,5.63,5,,,
8,Carpel/Style number,5.64,1,,,
9,Inflorescence type,5.65,raceme,,axillary,
10,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
11,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
12,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
13,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
14,Ellenberg: pH,7.16,6,,Data calculated for Europe,
15,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
17,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
20,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
22,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
