,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Auricle,3.32,falcate,0,,
9,Ligule,3.33,0.175,0.1-0.25,truncate,
10,2C DNA content (pg),5.26,6.05,2n=14,,
11,Flower colour,5.58,green,"brown, purple, white",,
12,Petal no,5.59,0,,,
13,Petal (sepal) size (cm),5.6,0,,,
14,Stigma number,5.61,2,,,
15,Stamen number,5.62,3,,,
16,Sepal number,5.63,0,,,
17,Carpel/Style number,5.64,2,,,
18,Inflorescence type,5.65,spik,,"spikelets in two rows, alternating",
19,"Glume, upper",5.66,1.05,0.5-1.6,"lanceolate, obtuse or acute, 3-7 veined",
20,Palea,5.68,0.45,0.4-0.5,,
21,Lemma,5.69,0.45,0.4-0.5,"ovate,obtuse, 3-7 veined, awned or not, 1",
22,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
23,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
24,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
25,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
26,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
27,Ellenberg: pH,7.16,5,,Data calculated for Europe,
28,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
29,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
30,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
31,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
32,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
33,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
34,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
