,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Auricle,3.32,falcate,,,
9,Ligule,3.33,0.25,,truncate,
10,2C DNA content (pg),5.26,24.55,,,
11,Flower colour,5.58,green,"brown, purple, white",,
12,Petal no,5.59,0,,,
13,Petal (sepal) size (cm),5.6,0,,,
14,Stigma number,5.61,2,,,
15,Stamen number,5.62,3,,,
16,Sepal number,5.63,0,,,
17,Carpel/Style number,5.64,2,,,
18,Inflorescence type,5.65,spicate raceme,,,
19,"Glume, upper",5.66,0.95,0.8-1.1,"ovate, truncate, 1 toothed, 5-9 nerved",
20,Glume lower,5.67,0.95,0.8-1.1,"ovate, truncate, 1 toothed, 5-9 nerved",
21,Lemma,5.69,1.15,1-1.3,"elliptic, acute, 5-9 nerved, awn apical, 8-16",
