,Name,Number,Value,Modifier,Notes,Subspecies
0,Seed weight: 3. mean (mg),5.34,0.1032,,,
1,Flower colour,5.58,yellow,,,
2,Petal no,5.59,5,,,
3,Petal (sepal) size (cm),5.6,1,1.5-1.5,,
4,Stigma number,5.61,1,2,,
5,Stamen number,5.62,5,4,,
6,Sepal number,5.63,5,,,
7,Carpel/Style number,5.64,1,,,
8,Inflorescence type,5.65,raceme,,"dense, terminal, spike-like",
9,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
10,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
11,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
12,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
13,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
14,Ellenberg: pH,7.16,8,,Data calculated for Europe,
15,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
16,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
17,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
19,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
20,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
21,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
