,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Altitude: 1. maximum recorded (m),1.12,792,-,-,
2,Altitude: 1. maximum recorded (m),1.12,900,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,600,-,-,
5,Altitude: 4. typical minimum (m),1.14,600,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1836,-,-,
9,First historical record: 2. site,2.05,Aberdeenshire,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,8.47,-,-,
13,EW Index,2.14,1.78,-,-,
14,British distribution (post 1949 records),2.15,29,-,-,
15,number of European countries in which native,2.17,17,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,20,-,-,
19,Height: 4. typical minimum (cm),3.06,5,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sheathing,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,0.1-1,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hemicryptophyte,-,-,
36,Longevity of stems (yrs),5.02,<1,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,7,-,-,
40,Pollen vector,5.15,wind,-,-,
41,Dicliny,5.16,monoecious,-,-,
42,Chromosome number(s): 1. number,5.25,50,,-,
43,Chromosome number(s): 1. number,5.25,52,,-,
44,Seedbank type,5.53,transient,-,-,
45,Flower colour,5.58,red-brown,purple-brown,,
46,Petal no,5.59,0,,,
47,Petal (sepal) size (cm),5.6,0,,,
48,Stigma number,5.61,3,,,
49,Stamen number,5.62,2,3,,
50,Sepal number,5.63,0,,,
51,Carpel/Style number,5.64,3,,,
52,Inflorescence type,5.65,spike,,"solitary, terminal, male above, female below",
53,"Glume, upper",5.66,0.275,0.25-0.3,"male, ovate, acute",
54,"Glume, upper",5.66,0.3,0.25-0.35,"female, elliptic to broadly ovate, obtuse, margins hyaline",
55,Physical defences on leaves,6.02,glabrous,-,-,
56,Physical defences on stems,6.03,glabrous,-,-,
57,Rarity Status,7.02,Scarce,,,
58,Change Index,7.03,0.27,,,
59,Biome,7.04,Arctic Montane,,,
60,Eastern Limit,7.05,Circumpolar,,,
61,Continentality,7.06,Not continental,,,
62,Northern Limit in Britain,7.07,No,,,
63,"Northern European Limit (Lat,5C band)",7.08,>65,,,
64,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
65,Southern European Limit,7.1,No,,,
66,January mean temperature,7.11,0.70,,,
67,July mean temperature,7.12,11.5,,,
68,Annual precipitation,7.13,1699,,,
69,Ellenberg Indicator: Light,7.14,8,,,
70,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
71,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
72,Ellenberg : Moisture,7.15,4,,,
73,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
74,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
75,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
76,Ellenberg: pH,7.16,6,,Data calculated for Europe,
77,Ellenberg: pH,7.16,7,,,
78,Ellenberg Indicator: Nitrogen,7.17,2,,,
79,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
84,Life Form: normal state,7.19,Hemicryptophyte,,,
85,Clonality: normal state,7.21,Rhizome shortly creeping,,,
86,Ellenberg: Temperature,7.23,2,,Data calculated for the Czech Republic,
87,Ellenberg: Temperature,7.23,2,,Data calculated for Europe,
88,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
